A_id,B_id
1794,5116
1802,838
1816,134
1816,1069
1833,2
1833,3
1833,5
1833,6
1833,7
1833,35
1854,52
1855,1287
1897,62
1926,27
1927,1131
1927,5116
1939,283
1939,284
1950,233
1950,1306
1960,55
1978,233
1979,233
1979,1306
1985,233
1989,233
1989,1306
1993,323
1998,233
1999,233
1999,1306
2005,233
2009,233
2009,1306
2013,323
2016,233
2016,1306
2017,1099
2022,233
2022,1224
2022,1306
2030,233
2030,1306
2041,233
2045,233
2045,1306
2052,233
2062,233
2062,1306
2064,233
2067,233
2067,1306
2068,1306
2069,1204
2076,233
2076,1306
2080,233
2084,233
2084,1306
2088,233
2088,1306
2095,233
2096,233
2101,233
2101,1306
2116,233
2116,1306
2122,1591
2123,233
2123,1306
2125,233
2125,1306
2131,22
2131,26
2131,1074
2138,3778
2140,233
2143,1069
2143,1766
2143,2167
2143,2233
2143,2444
2143,3087
2143,3089
2143,3754
2143,4198
2143,4236
2156,233
2156,1306
2173,233
2183,233
2183,1306
2184,233
2184,1306
2186,233
2186,1306
2190,233
2190,1306
2191,233
2191,1306
2208,1154
2209,233
2209,1306
2214,233
2214,1306
2215,233
2215,1306
2216,233
2216,1306
2234,233
2239,838
2239,1074
2239,1098
2239,1099
2239,2167
2239,2233
2239,2444
2239,2670
2239,4198
2255,3778
2258,233
2258,1306
2261,233
2261,1306
2267,1204
2280,233
2280,1306
2292,233
2292,1306
2296,233
2296,1306
2298,233
2298,1306
2299,233
2299,1306
2307,1165
2314,233
2314,1306
2325,233
2325,1306
2335,233
2335,1306
2342,233
2343,233
2343,1306
2361,838
2361,1098
2361,2233
2364,3010
2377,233
2377,1306
2385,233
2385,1306
2386,2126
2387,233
2387,1306
2394,233
2441,1591
2447,233
2447,1306
2448,233
2448,1306
2449,233
2449,1306
2460,1105
2462,233
2462,1306
2471,233
2476,233
2476,1306
2489,233
2489,1306
2497,233
2507,233
2507,1306
2511,233
2513,233
2513,1306
2514,838
2514,1098
2514,1099
2525,6735
2538,2508
2546,1118
2547,233
2547,1306
2548,233
2548,1306
2552,838
2552,1098
2552,1099
2552,2167
2555,233
2555,1306
2555,3778
2559,233
2559,1306
2573,233
2573,1306
2584,22
2584,26
2585,838
2585,1098
2591,2924
2596,3364
2600,233
2600,1306
2611,233
2611,1306
2617,233
2620,233
2620,1306
2621,233
2621,1306
2630,233
2632,233
2632,1306
2654,233
2654,1306
2656,233
2666,233
2666,1306
2679,233
2679,1306
2680,233
2680,1306
2688,233
2688,1306
2696,233
2696,1306
2698,233
2698,1306
2703,233
2703,1306
2719,233
2719,1306
2738,233
2738,1306
2742,22
2742,26
2743,233
2743,1306
2746,233
2746,1306
2747,1197
2750,233
2750,1306
2753,233
2753,1306
2758,1766
2758,2167
2758,2233
2758,2444
2758,3087
2758,3089
2758,3754
2758,4198
2758,4236
2764,1105
2784,838
2784,1098
2788,1204
2810,233
2810,1306
2811,233
2827,1329
2836,1197
2836,2167
2837,233
2837,1306
2845,233
2845,1306
2863,233
2863,1306
2885,1136
2885,1242
2885,1274
2904,233
2904,1306
2905,233
2905,1306
2905,3778
2936,233
2936,1306
2958,233
2958,1306
2967,1197
2973,838
2973,1098
2973,1099
2975,233
2977,233
2977,1306
2989,233
3014,3010
3017,233
3017,1306
3029,233
3031,233
3031,1306
3032,1204
3033,233
3033,1306
3039,233
3039,1306
3040,233
3040,1306
3041,233
3041,1306
3049,233
3049,1306
3070,233
3070,1306
3073,233
3073,1306
3092,233
3093,233
3110,6735
3122,1197
3123,1197
3124,233
3124,1306
3142,233
3151,3010
3152,233
3152,1259
3152,1306
3154,1069
3154,1074
3154,4198
3158,233
3158,1306
3166,233
3178,233
3178,1306
3178,3778
